Season,DayNum,team_1_id,team_1_name,team_1_games_played,team_1_wins,team_1_losses,team_1_points_scored,team_1_points_allowed,team_2_id,team_2_name,team_2_games_played,team_2_wins,team_2_losses,team_2_points_scored,team_2_points_allowed,is_neutral,team_1_won
2007,11,1375,South Alabama,0,0,0,0,0,1414,UC Irvine,0,0,0,0,0,1,1
2007,11,1142,Cal Poly,0,0,0,0,0,1368,SE Louisiana,0,0,0,0,0,1,0
2007,11,1364,UC Santa Barbara,0,0,0,0,0,1363,San Jose St,0,0,0,0,0,0,1
2007,11,1293,Murray St,0,0,0,0,0,1361,San Diego St,0,0,0,0,0,1,0
2007,11,1336,Penn St,0,0,0,0,0,1287,Morehead St,0,0,0,0,0,0,1
2007,11,1333,Oregon St,0,0,0,0,0,1339,Portland,0,0,0,0,0,0,1
2007,11,1332,Oregon,0,0,0,0,0,1250,Lehigh,0,0,0,0,0,0,1
2007,11,1408,Tulane,0,0,0,0,0,1139,Butler,0,0,0,0,0,0,0
2007,11,1145,Canisius,0,0,0,0,0,1138,Buffalo,0,0,0,0,0,0,0
2007,11,1326,Ohio St,0,0,0,0,0,1440,VMI,0,0,0,0,0,0,1
2007,11,1259,Loyola MD,0,0,0,0,0,1298,Navy,0,0,0,0,0,1,0
2007,11,1119,Army,0,0,0,0,0,1391,Stetson,0,0,0,0,0,1,1
2007,11,1116,Arkansas,0,0,0,0,0,1369,SE Missouri St,0,0,0,0,0,0,1
2007,11,1193,Fairfield,0,0,0,0,0,1110,American Univ,0,0,0,0,0,0,0
2007,11,1105,Alabama A&M,0,0,0,0,0,1237,IUPUI,0,0,0,0,0,1,0
2007,11,1235,Iowa St,0,0,0,0,0,1415,UC Riverside,0,0,0,0,0,0,1
2007,11,1211,Gonzaga,0,0,0,0,0,1186,E Washington,0,0,0,0,0,0,1
2007,11,1210,Georgia Tech,0,0,0,0,0,1189,Elon,0,0,0,0,0,0,1
2007,11,1208,Georgia,0,0,0,0,0,1380,Southern Univ,0,0,0,0,0,0,1
2007,11,1131,Boston Univ,0,0,0,0,0,1203,G Washington,0,0,0,0,0,0,0
2007,11,1201,Fresno St,0,0,0,0,0,1445,W Salem St,0,0,0,0,0,0,1
2007,11,1200,Fordham,0,0,0,0,0,1357,Sacred Heart,0,0,0,0,0,0,1
2007,11,1196,Florida,0,0,0,0,0,1359,Samford,0,0,0,0,0,0,1
2007,11,1104,Alabama,0,0,0,0,0,1238,Jackson St,0,0,0,0,0,0,1
2007,11,1102,Air Force,0,0,0,0,0,1115,Ark Pine Bluff,0,0,0,0,0,0,1
2007,11,1335,Penn,0,0,0,0,0,1431,UTEP,0,0,0,0,0,1,0
2007,11,1439,Virginia Tech,0,0,0,0,0,1164,Coppin St,0,0,0,0,0,0,1
2007,11,1412,UAB,0,0,0,0,0,1450,Washington St,0,0,0,0,0,1,0
2007,11,1452,West Virginia,0,0,0,0,0,1291,Mt St Mary's,0,0,0,0,0,0,1
2007,11,1454,WI Milwaukee,0,0,0,0,0,1347,Radford,0,0,0,0,0,0,1
2007,11,1219,High Point,0,0,0,0,0,1404,TN Martin,0,0,0,0,0,1,0
2007,11,1401,Texas A&M,0,0,0,0,0,1341,Prairie View,0,0,0,0,0,0,1
2007,11,1400,Texas,1,1,0,103,44,1152,Chicago St,1,1,0,98,95,0,1
2007,11,1397,Tennessee,0,0,0,0,0,1292,MTSU,0,0,0,0,0,0,1
2007,11,1393,Syracuse,0,0,0,0,0,1383,St Francis NY,0,0,0,0,0,0,1
2007,11,1430,Utah Valley,0,0,0,0,0,1286,Montana St,0,0,0,0,0,0,1
2007,11,1424,UNLV,0,0,0,0,0,1218,Hawaii,0,0,0,0,0,0,1
2007,11,1183,E Illinois,0,0,0,0,0,1419,ULM,0,0,0,0,0,1,0
2007,11,1385,St John's,0,0,0,0,0,1316,North Florida,0,0,0,0,0,0,1
2007,11,1159,Colgate,0,0,0,0,0,1392,Stony Brook,0,0,0,0,0,0,0
2007,11,1108,Alcorn St,1,0,1,44,103,1382,St Bonaventure,1,0,1,95,98,1,0
2007,11,1130,Boston College,0,0,0,0,0,1306,New Hampshire,0,0,0,0,0,0,1
2007,11,1120,Auburn,0,0,0,0,0,1407,Troy,0,0,0,0,0,0,1
2007,11,1169,CS Northridge,0,0,0,0,0,1340,Portland St,0,0,0,0,0,1,1
2007,11,1172,Davidson,0,0,0,0,0,1185,E Michigan,0,0,0,0,0,1,1
2007,11,1163,Connecticut,0,0,0,0,0,1346,Quinnipiac,0,0,0,0,0,0,1
2007,11,1117,Arkansas St,0,0,0,0,0,1155,Clemson,0,0,0,0,0,1,0
2007,11,1160,Colorado,0,0,0,0,0,1176,Denver,0,0,0,0,0,0,1
2007,11,1153,Cincinnati,0,0,0,0,0,1224,Howard,0,0,0,0,0,0,1
2007,11,1321,Northwestern,0,0,0,0,0,1165,Cornell,0,0,0,0,0,0,0
2007,11,1260,Loyola-Chicago,0,0,0,0,0,1343,Princeton,0,0,0,0,0,1,1
2007,11,1258,Loy Marymount,0,0,0,0,0,1331,Oral Roberts,0,0,0,0,0,0,1
2007,11,1447,Wagner,0,0,0,0,0,1248,Lafayette,0,0,0,0,0,0,0
2007,11,1245,Kent,0,0,0,0,0,1355,S Dakota St,0,0,0,0,0,1,1
2007,11,1225,Idaho,0,0,0,0,0,1295,N Dakota St,0,0,0,0,0,0,0
2007,11,1281,Missouri,0,0,0,0,0,1299,NC A&T,0,0,0,0,0,0,1
2007,11,1279,Mississippi,0,0,0,0,0,1290,MS Valley St,0,0,0,0,0,0,1
2007,11,1276,Michigan,0,0,0,0,0,1148,Central Conn,0,0,0,0,0,0,1
2007,12,1454,WI Milwaukee,1,1,0,72,60,1450,Washington St,1,1,0,71,60,0,0
2007,12,1448,Wake Forest,0,0,0,0,0,1241,James Madison,0,0,0,0,0,0,1
2007,12,1244,Kennesaw,0,0,0,0,0,1443,WKU,0,0,0,0,0,0,0
2007,12,1403,Texas Tech,0,0,0,0,0,1358,Sam Houston St,0,0,0,0,0,0,1
2007,12,1259,Loyola MD,1,0,1,61,73,1316,North Florida,1,0,1,53,74,1,1
2007,12,1267,Marshall,0,0,0,0,0,1422,UNC Greensboro,0,0,0,0,0,0,1
2007,12,1269,Massachusetts,0,0,0,0,0,1171,Dartmouth,0,0,0,0,0,0,1
2007,12,1274,Miami FL,0,0,0,0,0,1198,Florida Intl,0,0,0,0,0,0,1
2007,12,1276,Michigan,1,1,0,60,40,1172,Davidson,1,1,0,81,77,0,1
2007,12,1280,Mississippi St,0,0,0,0,0,1311,Nicholls St,0,0,0,0,0,0,1
2007,12,1281,Missouri,1,1,0,101,80,1119,Army,1,1,0,80,68,0,1
2007,12,1283,Missouri St,0,0,0,0,0,1405,Toledo,0,0,0,0,0,0,1
2007,12,1254,LIU Brooklyn,0,0,0,0,0,1127,Binghamton,0,0,0,0,0,0,1
2007,12,1249,Lamar,0,0,0,0,0,1411,TX Southern,0,0,0,0,0,0,1
2007,12,1237,IUPUI,1,1,0,86,47,1245,Kent,1,1,0,105,50,1,0
2007,12,1243,Kansas St,0,0,0,0,0,1456,William & Mary,0,0,0,0,0,0,1
2007,12,1242,Kansas,0,0,0,0,0,1319,Northern Arizona,0,0,0,0,0,0,1
2007,12,1235,Iowa St,1,1,0,69,61,1419,ULM,1,1,0,70,60,0,1
2007,12,1219,High Point,1,0,1,61,64,1224,Howard,1,0,1,39,70,1,1
2007,12,1217,Harvard,0,0,0,0,0,1263,Maine,0,0,0,0,0,0,1
2007,12,1461,Wyoming,0,0,0,0,0,1129,Boise St,0,0,0,0,0,0,1
2007,12,1275,Miami OH,0,0,0,0,0,1460,Wright St,0,0,0,0,0,0,0
2007,12,1462,Xavier,0,0,0,0,0,1157,Coastal Car,0,0,0,0,0,0,1
2007,12,1383,St Francis NY,1,0,1,51,83,1431,UTEP,1,1,0,69,66,1,0
2007,12,1183,E Illinois,1,0,1,60,70,1415,UC Riverside,1,0,1,61,69,1,0
2007,12,1414,UC Irvine,1,0,1,63,67,1445,W Salem St,1,0,1,63,85,1,1
2007,12,1347,Radford,1,0,1,60,72,1412,UAB,1,0,1,60,71,1,0
2007,12,1309,New Orleans,2,0,2,138,156,1240,Jacksonville St,0,0,0,0,0,0,1
2007,12,1105,Alabama A&M,1,0,1,47,86,1355,S Dakota St,1,0,1,50,105,1,1
2007,12,1107,SUNY Albany,0,0,0,0,0,1137,Bucknell,0,0,0,0,0,0,1
2007,12,1123,Ball St,0,0,0,0,0,1294,N Colorado,0,0,0,0,0,0,1
2007,12,1133,Bradley,0,0,0,0,0,1177,DePaul,0,0,0,0,0,0,1
2007,12,1142,Cal Poly,1,0,1,69,76,1339,Portland,1,0,1,48,65,1,1
2007,12,1150,Charlotte,0,0,0,0,0,1220,Hofstra,0,0,0,0,0,0,1
2007,12,1153,Cincinnati,1,1,0,70,39,1404,TN Martin,1,1,0,64,61,0,1
2007,12,1155,Clemson,1,1,0,83,44,1284,Monmouth NJ,1,0,1,40,54,1,1
2007,12,1395,TCU,0,0,0,0,0,1147,Centenary,0,0,0,0,0,0,1
2007,12,1393,Syracuse,1,1,0,83,51,1335,Penn,1,0,1,66,69,0,1
2007,12,1299,NC A&T,1,0,1,80,101,1391,Stetson,1,0,1,68,80,1,0
2007,12,1390,Stanford,0,0,0,0,0,1373,Siena,0,0,0,0,0,0,1
2007,12,1389,St Peter's,0,0,0,0,0,1420,UMBC,0,0,0,0,0,0,1
2007,12,1385,St John's,1,1,0,74,53,1298,Navy,1,1,0,73,61,0,1
2007,12,1372,SF Austin,0,0,0,0,0,1360,San Diego,0,0,0,0,0,0,1
2007,12,1333,Oregon St,1,1,0,65,48,1368,SE Louisiana,1,1,0,76,69,0,0
2007,12,1209,Georgia St,0,0,0,0,0,1158,Col Charleston,0,0,0,0,0,0,0
2007,12,1173,Dayton,0,0,0,0,0,1122,Austin Peay,0,0,0,0,0,0,1
2007,12,1148,Central Conn,1,0,1,40,60,1185,E Michigan,1,0,1,77,81,1,0
2007,12,1187,East Carolina,0,0,0,0,0,1288,Morgan St,0,0,0,0,0,0,1
2007,12,1201,Fresno St,1,1,0,85,63,1375,South Alabama,1,1,0,67,63,0,1
2007,12,1202,Furman,0,0,0,0,0,1149,Charleston So,0,0,0,0,0,0,1
2007,12,1156,Cleveland St,0,0,0,0,0,1206,George Mason,0,0,0,0,0,0,0
2007,12,1207,Georgetown,0,0,0,0,0,1216,Hartford,0,0,0,0,0,0,1
2007,12,1264,Manhattan,0,0,0,0,0,1312,NJIT,0,0,0,0,0,0,0
2007,12,1325,Ohio,0,0,0,0,0,1265,Marist,0,0,0,0,0,0,1
2007,12,1326,Ohio St,1,1,0,107,69,1260,Loyola-Chicago,1,1,0,68,57,0,1
2007,12,1330,Old Dominion,1,1,0,54,40,1117,Arkansas St,1,0,1,44,83,0,1
2007,12,1332,Oregon,1,1,0,77,65,1169,CS Northridge,1,1,0,90,65,0,1
2007,12,1250,Lehigh,1,0,1,65,77,1340,Portland St,1,0,1,65,90,1,0
2007,12,1343,Princeton,1,0,1,57,68,1440,VMI,1,0,1,69,107,1,1
2007,12,1388,St Mary's CA,0,0,0,0,0,1361,San Diego St,1,1,0,87,84,0,0
2007,13,1311,Nicholls St,1,0,1,55,90,1320,Northern Iowa,0,0,0,0,0,1,0
2007,13,1117,Arkansas St,2,0,2,105,152,1284,Monmouth NJ,2,0,2,105,131,1,0
2007,13,1307,New Mexico,0,0,0,0,0,1170,CS Sacramento,0,0,0,0,0,0,1
2007,13,1281,Missouri,2,2,0,168,138,1391,Stetson,2,1,1,140,149,0,1
2007,13,1150,Charlotte,1,1,0,88,82,1317,North Texas,0,0,0,0,0,0,0
2007,13,1224,Howard,2,0,2,101,151,1404,TN Martin,2,1,1,113,128,1,1
2007,13,1221,Holy Cross,0,0,0,0,0,1193,Fairfield,1,0,1,54,59,0,1
2007,13,1204,Ga Southern,0,0,0,0,0,1413,UC Davis,0,0,0,0,0,1,1
2007,13,1277,Michigan St,2,2,0,131,95,1154,Citadel,0,0,0,0,0,0,1
2007,13,1276,Michigan,2,2,0,138,108,1185,E Michigan,2,1,1,153,150,0,1
2007,13,1268,Maryland,2,2,0,183,138,1197,Florida A&M,0,0,0,0,0,0,1
2007,13,1237,IUPUI,2,1,1,160,128,1260,Loyola-Chicago,2,1,1,143,144,1,0
2007,13,1235,Iowa St,2,2,0,137,101,1183,E Illinois,2,0,2,115,134,0,1
2007,13,1454,WI Milwaukee,2,1,1,126,134,1412,UAB,2,1,1,136,134,0,0
2007,13,1427,UT San Antonio,0,0,0,0,0,1410,UTRGV,0,0,0,0,0,0,0
2007,13,1393,Syracuse,2,2,0,161,111,1431,UTEP,2,2,0,123,118,0,1
2007,13,1347,Radford,2,0,2,123,148,1450,Washington St,2,2,0,145,114,1,0
2007,13,1449,Washington,0,0,0,0,0,1337,Pepperdine,0,0,0,0,0,0,1
2007,13,1355,S Dakota St,2,0,2,116,175,1440,VMI,2,0,2,137,180,1,0
2007,13,1339,Portland,2,0,2,101,121,1368,SE Louisiana,2,2,0,141,132,1,0
2007,13,1388,St Mary's CA,1,0,1,73,74,1293,Murray St,1,0,1,84,87,0,1
2007,13,1229,Illinois St,0,0,0,0,0,1374,SMU,0,0,0,0,0,1,0
2007,13,1375,South Alabama,2,1,1,130,136,1445,W Salem St,2,0,2,104,138,1,1
2007,13,1415,UC Riverside,2,1,1,125,124,1419,ULM,2,1,1,110,128,1,0
2007,13,1438,Virginia,0,0,0,0,0,1112,Arizona,0,0,0,0,0,0,1
2007,13,1458,Wisconsin,0,0,0,0,0,1273,Mercer,0,0,0,0,0,0,1
2007,13,1338,Pittsburgh,0,0,0,0,0,1444,W Michigan,0,0,0,0,0,1,1
2007,13,1335,Penn,2,0,2,126,147,1383,St Francis NY,2,0,2,103,137,1,1
2007,13,1333,Oregon St,2,1,1,128,113,1142,Cal Poly,2,1,1,125,129,0,1
2007,13,1332,Oregon,2,2,0,161,138,1340,Portland St,2,1,1,159,180,0,1
2007,13,1326,Ohio St,2,2,0,194,144,1245,Kent,2,2,0,186,124,0,1
2007,13,1324,Oakland,0,0,0,0,0,1453,WI Green Bay,0,0,0,0,0,0,1
2007,13,1119,Army,2,1,1,138,135,1299,NC A&T,2,0,2,149,173,1,1
2007,13,1153,Cincinnati,2,2,0,137,88,1219,High Point,2,1,1,142,126,0,1
2007,13,1330,Old Dominion,2,2,0,123,101,1155,Clemson,2,2,0,160,109,0,0
2007,13,1169,CS Northridge,2,1,1,163,149,1250,Lehigh,2,0,2,155,171,1,1
2007,13,1148,Central Conn,2,0,2,109,136,1172,Davidson,2,1,1,149,155,1,0
2007,13,1181,Duke,0,0,0,0,0,1162,Columbia,0,0,0,0,0,0,1
2007,13,1199,Florida St,0,0,0,0,0,1270,McNeese St,0,0,0,0,0,0,1
2007,13,1201,Fresno St,2,2,0,158,126,1414,UC Irvine,2,1,1,116,108,0,1
2007,13,1366,Savannah St,0,0,0,0,0,1239,Jacksonville,0,0,0,0,0,0,1
2007,13,1105,Alabama A&M,2,1,1,117,152,1343,Princeton,2,1,1,130,136,1,0
2007,14,1345,Purdue,0,0,0,0,0,1294,N Colorado,1,0,1,42,81,0,1
2007,14,1181,Duke,1,1,0,86,43,1204,Ga Southern,1,1,0,116,73,0,1
2007,14,1182,Duquesne,0,0,0,0,0,1464,Youngstown St,2,1,1,135,136,0,1
2007,14,1184,E Kentucky,0,0,0,0,0,1190,ETSU,0,0,0,0,0,0,1
2007,14,1199,Florida St,1,1,0,85,65,1229,Illinois St,1,0,1,55,57,0,1
2007,14,1210,Georgia Tech,1,1,0,83,49,1238,Jackson St,1,0,1,65,96,0,1
2007,14,1228,Illinois,0,0,0,0,0,1122,Austin Peay,1,0,1,62,78,0,1
2007,14,1348,Rhode Island,0,0,0,0,0,1222,Houston,0,0,0,0,0,0,0
2007,14,1218,Hawaii,1,0,1,59,73,1164,Coppin St,1,0,1,43,94,0,1
2007,14,1266,Marquette,0,0,0,0,0,1226,Idaho St,0,0,0,0,0,0,1
2007,14,1278,Minnesota,0,0,0,0,0,1295,N Dakota St,1,1,0,91,76,0,1
2007,14,1280,Mississippi St,1,1,0,90,55,1258,Loy Marymount,1,1,0,68,65,0,1
2007,14,1282,Missouri KC,0,0,0,0,0,1194,FL Atlantic,1,0,1,50,95,0,1
2007,14,1113,Arizona St,0,0,0,0,0,1319,Northern Arizona,1,0,1,57,91,0,0
2007,14,1320,Northern Iowa,1,1,0,68,63,1337,Pepperdine,1,0,1,91,99,1,1
2007,14,1336,Penn St,1,1,0,63,46,1422,UNC Greensboro,1,0,1,80,82,0,1
2007,14,1270,McNeese St,1,0,1,65,85,1374,SMU,1,1,0,57,55,1,0
2007,14,1378,South Florida,0,0,0,0,0,1138,Buffalo,1,1,0,72,69,0,1
2007,14,1200,Fordham,1,1,0,70,68,1397,Tennessee,1,1,0,83,52,1,0
2007,14,1165,Cornell,1,1,0,64,61,1392,Stony Brook,1,1,0,65,59,0,1
2007,14,1178,Detroit,0,0,0,0,0,1263,Maine,1,0,1,71,75,1,1
2007,14,1166,Creighton,0,0,0,0,0,1290,MS Valley St,1,0,1,49,72,0,1
2007,14,1162,Columbia,1,0,1,43,86,1413,UC Davis,1,0,1,73,116,1,1
2007,14,1139,Butler,1,1,0,77,37,1323,Notre Dame,1,1,0,92,49,0,1
2007,14,1103,Akron,0,0,0,0,0,1114,Ark Little Rock,0,0,0,0,0,1,0
2007,14,1286,Montana St,1,0,1,37,69,1364,UC Santa Barbara,1,1,0,75,67,0,0
2007,14,1352,Robert Morris,0,0,0,0,0,1198,Florida Intl,1,0,1,50,73,0,1
2007,14,1231,Indiana,0,0,0,0,0,1248,Lafayette,1,1,0,76,70,1,1
2007,14,1252,Lipscomb,0,0,0,0,0,1191,Evansville,0,0,0,0,0,0,1
2007,14,1234,Iowa,0,0,0,0,0,1154,Citadel,1,0,1,41,73,0,1
2007,14,1449,Washington,1,1,0,99,91,1311,Nicholls St,2,0,2,118,158,0,1
2007,14,1130,Boston College,1,1,0,86,47,1436,Vermont,2,1,1,145,146,0,0
2007,14,1236,PFW,1,0,1,49,92,1434,Valparaiso,0,0,0,0,0,0,0
2007,14,1255,Longwood,0,0,0,0,0,1433,VCU,0,0,0,0,0,0,0
2007,14,1430,Utah Valley,1,1,0,69,37,1285,Montana,0,0,0,0,0,0,1
2007,14,1125,Belmont,0,0,0,0,0,1423,UNC Wilmington,0,0,0,0,0,0,0
2007,14,1406,Towson,0,0,0,0,0,1216,Hartford,1,0,1,59,69,0,1
2007,14,1403,Texas Tech,1,1,0,79,64,1205,Gardner Webb,0,0,0,0,0,0,1
2007,15,1395,TCU,1,1,0,72,66,1372,SF Austin,1,1,0,71,62,0,1
2007,15,1390,Stanford,1,1,0,92,72,1363,San Jose St,1,0,1,67,75,0,1
2007,15,1386,St Joseph's PA,0,0,0,0,0,1193,Fairfield,2,0,2,119,126,0,1
2007,15,1382,St Bonaventure,2,1,1,163,157,1146,Cent Arkansas,0,0,0,0,0,0,1
2007,15,1176,Denver,1,0,1,64,78,1381,Southern Utah,1,1,0,76,73,0,0
2007,15,1314,North Carolina,0,0,0,0,0,1357,Sacred Heart,1,0,1,68,70,1,1
2007,15,1312,NJIT,1,1,0,56,55,1351,Rider,0,0,0,0,0,0,1
2007,15,1308,New Mexico St,0,0,0,0,0,1334,Pacific,0,0,0,0,0,0,1
2007,15,1102,Air Force,1,1,0,81,45,1253,Long Beach St,0,0,0,0,0,1,1
2007,15,1103,Akron,1,0,1,79,81,1205,Gardner Webb,1,0,1,74,86,1,1
2007,15,1110,American Univ,1,1,0,59,54,1288,Morgan St,1,0,1,67,86,0,1
2007,15,1124,Baylor,0,0,0,0,0,1161,Colorado St,0,0,0,0,0,1,1
2007,15,1125,Belmont,1,0,1,83,88,1200,Fordham,2,1,1,141,146,0,1
2007,15,1217,Harvard,1,1,0,75,71,1131,Boston Univ,1,0,1,57,70,0,0
2007,15,1139,Butler,2,2,0,148,106,1231,Indiana,1,1,0,91,66,0,1
2007,15,1147,Centenary,1,0,1,66,72,1402,Texas St,0,0,0,0,0,0,1
2007,15,1307,New Mexico,1,1,0,92,56,1160,Colorado,1,1,0,78,64,0,1
2007,15,1135,Brown,2,0,2,92,116,1298,Navy,2,1,1,122,133,1,0
2007,15,1291,Mt St Mary's,1,0,1,42,50,1241,James Madison,1,0,1,82,91,0,1
2007,15,1279,Mississippi,1,1,0,72,49,1418,Louisiana,0,0,0,0,0,0,1
2007,15,1274,Miami FL,1,1,0,73,50,1108,Alcorn St,2,0,2,103,171,0,1
2007,15,1266,Marquette,1,1,0,59,56,1178,Detroit,1,1,0,57,50,0,1
2007,15,1174,Delaware,0,0,0,0,0,1265,Marist,1,0,1,66,83,0,0
2007,15,1264,Manhattan,1,0,1,55,56,1447,Wagner,1,0,1,70,76,0,1
2007,15,1170,CS Sacramento,1,0,1,56,92,1362,San Francisco,0,0,0,0,0,0,0
2007,15,1366,Savannah St,1,1,0,67,64,1273,Mercer,1,0,1,48,72,0,1
2007,15,1350,Richmond,0,0,0,0,0,1187,East Carolina,1,1,0,86,67,0,1
2007,15,1321,Northwestern,1,0,1,61,64,1177,DePaul,1,0,1,58,78,0,1
2007,15,1248,Lafayette,2,1,1,142,161,1323,Notre Dame,2,1,1,161,120,1,0
2007,15,1311,Nicholls St,3,0,3,192,260,1337,Pepperdine,2,0,2,149,182,1,0
2007,15,1338,Pittsburgh,1,1,0,86,67,1175,Delaware St,0,0,0,0,0,0,1
2007,15,1344,Providence,0,0,0,0,0,1192,F Dickinson,0,0,0,0,0,0,1
2007,15,1455,Wichita St,0,0,0,0,0,1152,Chicago St,2,1,1,164,187,0,1
2007,15,1233,Iona,0,0,0,0,0,1457,Winthrop,0,0,0,0,0,1,0
2007,15,1449,Washington,2,2,0,201,165,1320,Northern Iowa,2,2,0,151,121,0,1
2007,15,1211,Gonzaga,1,1,0,90,75,1349,Rice,0,0,0,0,0,0,1
2007,15,1226,Idaho St,1,0,1,56,59,1263,Maine,2,0,2,121,132,1,1
2007,15,1229,Illinois St,2,0,2,114,130,1270,McNeese St,2,0,2,119,155,1,1
2007,15,1232,Indiana St,0,0,0,0,0,1444,W Michigan,1,0,1,67,86,0,1
2007,15,1420,UMBC,1,0,1,56,67,1259,Loyola MD,2,1,1,126,123,0,0
2007,15,1208,Georgia,1,1,0,97,37,1443,WKU,1,1,0,96,55,0,0
2007,15,1421,UNC Asheville,0,0,0,0,0,1441,W Carolina,0,0,0,0,0,0,0
2007,15,1137,Bucknell,1,0,1,49,55,1448,Wake Forest,1,1,0,91,82,0,0
2007,15,1424,UNLV,1,1,0,73,59,1186,E Washington,1,0,1,75,90,0,1
2007,15,1414,UC Irvine,3,1,2,167,190,1376,South Carolina,1,1,0,55,52,0,1
2007,15,1408,Tulane,1,0,1,37,77,1309,New Orleans,3,1,2,204,210,0,1
2007,15,1403,Texas Tech,2,2,0,165,138,1114,Ark Little Rock,1,1,0,81,79,0,1
2007,15,1397,Tennessee,2,2,0,161,123,1423,UNC Wilmington,1,1,0,88,83,1,1
2007,15,1199,Florida St,2,2,0,158,124,1374,SMU,2,2,0,127,109,0,1
2007,15,1203,G Washington,1,1,0,70,57,1171,Dartmouth,1,0,1,61,98,0,1
2007,15,1196,Florida,1,1,0,79,54,1316,North Florida,2,0,2,103,139,0,1
2007,16,1390,Stanford,2,2,0,165,124,1102,Air Force,2,2,0,150,113,0,0
2007,16,1112,Arizona,1,0,1,90,93,1319,Northern Arizona,2,1,1,132,162,0,1
2007,16,1155,Clemson,3,3,0,234,179,1202,Furman,1,1,0,88,69,0,1
2007,16,1143,California,0,0,0,0,0,1430,Utah Valley,2,2,0,143,94,0,1
2007,16,1172,Davidson,3,2,1,240,219,1227,IL Chicago,0,0,0,0,0,0,1
2007,16,1458,Wisconsin,1,1,0,72,48,1453,WI Green Bay,1,0,1,57,74,0,1
2007,16,1461,Wyoming,1,1,0,94,79,1285,Montana,1,0,1,57,74,0,1
2007,16,1233,Iona,1,0,1,38,57,1357,Sacred Heart,2,0,2,149,173,1,0
2007,16,1393,Syracuse,3,3,0,244,180,1318,Northeastern,0,0,0,0,0,0,1
2007,16,1417,UCLA,0,0,0,0,0,1140,BYU,0,0,0,0,0,0,1
2007,16,1317,North Texas,1,1,0,90,72,1426,UT Arlington,0,0,0,0,0,0,0
2007,16,1276,Michigan,3,3,0,218,159,1454,WI Milwaukee,3,1,2,186,209,0,1
2007,16,1333,Oregon St,3,2,1,206,178,1305,Nevada,0,0,0,0,0,0,0
2007,16,1161,Colorado St,1,0,1,82,87,1349,Rice,1,0,1,50,88,1,0
2007,16,1242,Kansas,1,1,0,91,57,1331,Oral Roberts,1,0,1,65,68,0,0
2007,16,1246,Kentucky,0,0,0,0,0,1275,Miami OH,1,0,1,56,57,0,1
2007,16,1353,Rutgers,0,0,0,0,0,1243,Kansas St,1,1,0,70,60,0,0
2007,16,1211,Gonzaga,2,2,0,178,125,1124,Baylor,1,1,0,87,82,0,1
2007,16,1435,Vanderbilt,0,0,0,0,0,1207,Georgetown,1,1,0,69,59,0,0
2007,16,1228,Illinois,1,1,0,80,35,1238,Jackson St,2,0,2,135,196,0,1
2007,16,1221,Holy Cross,1,1,0,67,65,1214,Hampton,2,1,1,149,175,0,1
2007,16,1314,North Carolina,1,1,0,103,81,1457,Winthrop,1,1,0,57,38,1,1
2007,16,1313,Norfolk St,1,0,1,36,99,1255,Longwood,1,0,1,63,75,0,0
2007,16,1329,Oklahoma St,1,1,0,95,50,1322,Northwestern LA,1,1,0,88,71,0,1
2007,16,1253,Long Beach St,1,0,1,68,69,1363,San Jose St,2,0,2,119,148,1,1
2007,16,1190,ETSU,1,0,1,53,70,1151,Chattanooga,0,0,0,0,0,0,1
